name,tags,x,y,z,bas_demand
Junction-477354,,"354435.326999999582767","396489.817000001668930","29.128333999999999","0.000000"
Junction-456743,,"356616.417874999286141","399364.971312500478234","18.348165999999999","0.000000"
Junction-15238,,"355651.172731629048940","398096.832778125128243","45.876666999999998","0.040891"
Junction-36300,,"355029.356169583392330","398329.875402764708269","36.454999999999998","0.036967"
Junction-465318,,"353473.924999997019768","396646.243999999016523","20.080577999999999","0.000000"
Junction-467223,,"355583.795000001729932","397153.556000001728535","35.742500000000000","0.035827"
Junction-44213,,"354158.465107723022811","398486.241277535795234","36.469999999999999","0.000000"
Junction-519680,,"354870.013499997556210","396665.923187501786742","27.670000000000002","0.000000"
Junction-59385,,"356658.955105881206691","398138.903278013225645","79.640000000000001","0.122009"
Junction-46338,,"357926.248105013859458","396607.733280523098074","50.130000000000003","0.038657"
Junction-55599,,"354653.492107402475085","397341.798279436537996","23.085712000000001","0.034435"
Junction-1151,,"355464.789044272911269","398043.261403224314563","38.070000000000000","0.000000"
Junction-455952,,"354579.401000000536442","396510.635999999940395","24.870000000000001","0.023231"
Junction-15657,,"356088.799606286047492","398650.228964675392490","46.840000000000003","0.059375"
Junction-16182,,"356657.949105873354711","398397.993277576577384","53.626666999999998","0.000000"
Junction-50931,,"355295.558106950134970","396799.777280317444820","23.239999999999998","0.166698"
Junction-61998,,"352816.370296302717179","396466.387530985637568","18.415747000000000","0.000000"
Junction-59015,,"354551.949169919826090","398593.421339840569999","17.265000000000001","0.169230"
Junction-44339,,"354826.247107255388983","397827.207278612011578","22.633330999999998","0.000000"
Junction-14510,,"354722.818482296890579","398565.244652379362378","22.160001999999999","0.000000"
Junction-44270,,"354517.100107491831295","397665.042278899636585","17.080002000000000","0.244904"
Junction-15229,,"355602.333606671309099","397962.430590854142793","37.280000000000001","0.041936"
Junction-475043,,"354239.130999997258186","396118.182999998331070","30.154499999999999","0.108796"
Junction-25858,,"352128.533109317417257","396385.011281154118478","14.565059000000000","0.000000"
Junction-55937,,"356067.609106311341748","398289.911277784151025","67.510000000000005","0.055007"
Junction-55582,,"354481.231107526109554","397431.909279295534361","21.617999999999999","0.318711"
Junction-44699,,"355596.936106664827093","398177.502277994528413","47.286667000000001","0.064565"
